Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-09 20-44-34,0.0,221319168,2717270016,0,0,start_loggin
2022-08-09 20-44-34,5.597667638483965,221868032,2717270016,475136,4096,add samples
2022-08-09 20-44-35,26.158038147138964,222449664,2717532160,876544,0,init dataset
2022-08-09 20-44-57,85.08276495534406,365895680,2863169536,99319808,0,split dataset
2022-08-09 20-44-57,14.701378254211333,366075904,2867425280,8466432,4096,Model start
2022-08-09 20-44-57,10.561056105610561,366452736,2867425280,430080,159744,modelsetup_done
2022-08-09 20-44-57,184.6153846153846,366452736,2867425280,0,4096,train_start
2022-08-09 20-44-57,0.0,366452736,2867425280,0,0,epoch_begin
2022-08-09 20-45-03,2040.046288178981,411205632,6521081856,7090176,0,
2022-08-09 20-45-06,3933.9155062544255,538017792,6643994624,61440,0,
2022-08-09 20-45-08,3869.6432297099936,558100480,6670561280,0,0,
2022-08-09 20-45-11,3861.65134780258,549851136,6668558336,0,0,
2022-08-09 20-45-14,3521.9954648526077,530178048,6671085568,0,0,
2022-08-09 20-45-18,2931.245105716523,525254656,6673068032,0,0,
2022-08-09 20-45-21,3284.981494708136,533106688,6674026496,0,0,
2022-08-09 20-45-23,3895.374934452019,530501632,6678351872,0,0,
2022-08-09 20-45-27,2983.528410300064,563011584,6709080064,21450752,184320,saved_model
2022-08-09 20-45-27,0.0,563011584,6709080064,0,0,epoch_end
2022-08-09 20-45-27,0.0,563011584,6709080064,0,4096,wrote_logs
2022-08-09 20-45-27,1600.0,563011584,6709080064,0,0,train_end
