Datetime,CPU,RSS,VMSize,Read,Write,Annotation,,,
2022-08-11 00-36-19,0,736628736,3705057280,0,0,start_loggin,,,FALSE
2022-08-11 00-36-19,7.239176721,728801280,3705176064,503808,4096,add samples,,,
2022-08-11 06-05-37,194.723788,34705842176,37845790720,8724480,4096,Model start,,,
2022-08-11 06-05-38,71.31086142,34706771968,37850247168,737280,163840,modelsetup_done,,,
2022-08-11 06-05-38,106.8062827,34706771968,37850247168,24576,8192,train_start,,,
2022-08-11 06-05-38,0,34706771968,37850247168,0,0,epoch_begin,,,
2022-08-11 06-05-43,1216.74187,35137642496,42949423104,21798912,0,,,,
2022-08-11 06-05-47,1122.060153,35171074048,42987675648,90112,4096,,,,
2022-08-11 06-05-51,1544,35281940480,43059503104,8192,4096,,,,
2022-08-11 06-05-54,882.1430122,35299442688,43095199744,4096,4096,,,,
2022-08-11 06-05-58,887.3578822,35314970624,43122061312,4096,4096,,,,
2022-08-11 06-06-01,937.580597,35316117504,43124424704,4096,4096,,,,
2022-08-11 06-06-05,1069.835406,35316580352,43130990592,4096,4096,,,,
2022-08-11 06-06-08,1081.422794,35316469760,43127050240,4096,4096,,,,
2022-08-11 06-06-12,972.4551911,35316838400,43129151488,4096,4096,,,,
2022-08-11 06-06-15,912.4387855,35316596736,43131166720,4096,4096,,,,
2022-08-11 06-06-19,881.828355,35343392768,43152834560,4096,4096,,,,
2022-08-11 06-06-22,1029.126375,35344814080,43157299200,4096,4096,,,,
2022-08-11 06-06-26,1126.681716,35344855040,43159662592,4096,4096,,,,
2022-08-11 06-06-29,1041.894474,35401031680,43217649664,4096,4096,,,,
2022-08-11 06-06-33,826.9556208,35401256960,43215810560,4096,4096,,,,
2022-08-11 06-06-36,1004.761309,35346518016,43158814720,4096,4096,,,,
2022-08-11 06-06-40,1111.32997,35289694208,43106918400,4096,4096,,,,
2022-08-11 06-06-44,1107.669421,35317723136,43094618112,4096,4096,,,,
2022-08-11 06-06-47,1181.737446,35346059264,43139846144,4096,4096,,,,
2022-08-11 06-06-51,1155.917375,35403534336,43203305472,4096,4096,,,,
2022-08-11 06-06-54,871.5620828,35403653120,43211972608,4096,4096,,,,
2022-08-11 06-06-58,1028.442438,35403816960,43218276352,4096,4096,,,,
2022-08-11 06-07-01,1004.252088,35403952128,43214336000,4096,4096,,,,
2022-08-11 06-07-05,1009.357215,35404406784,43218800640,4096,4096,,,,
2022-08-11 06-07-08,930.7424101,35432013824,43248930816,4096,4096,,,,
2022-08-11 06-07-12,1001.067022,35376197632,43152977920,4096,4096,,,,
2022-08-11 06-07-15,942.7737103,35432046592,43225821184,4096,4096,,,,
2022-08-11 06-07-19,928.7608751,35433299968,43235291136,4096,4096,,,,
2022-08-11 06-07-22,966.2961241,35433791488,43243958272,4096,4096,,,,
2022-08-11 06-07-26,869.1794872,35376975872,43189485568,4096,4096,,,,
2022-08-11 06-07-29,956.3982245,35377491968,43193950208,4096,4096,,,,
2022-08-11 06-07-33,978.4460311,35433340928,43248164864,4096,4096,,,,
2022-08-11 06-07-36,869.6374492,35433926656,43246325760,4096,4096,,,,
2022-08-11 06-07-39,937.5083836,35434188800,43246587904,4096,4096,,,,
2022-08-11 06-07-43,945.0046606,35434397696,43248689152,4096,4096,,,,
2022-08-11 06-07-46,808.8954781,35434655744,43246850048,4096,4096,,,,
2022-08-11 06-07-50,1020.969636,35378782208,43188957184,4096,4096,,,,
2022-08-11 06-07-53,931.5823136,35379081216,43195523072,4096,4096,,,,
2022-08-11 06-07-57,1115.729783,35406327808,43183251456,4096,4096,,,,
2022-08-11 06-08-00,1137.036432,35462762496,43252568064,4096,4096,,,,
2022-08-11 06-08-04,992.7880387,35379212288,43175034880,4096,4096,,,,
2022-08-11 06-08-07,872.9433036,35406495744,43207356416,4096,4096,,,,
2022-08-11 06-08-11,981.4610294,35379331072,43183702016,4096,4096,,,,
2022-08-11 06-08-14,1011.301097,35462795264,43275857920,4096,4096,,,,
2022-08-11 06-08-18,1155.098055,35379859456,43156910080,4096,4096,,,,
2022-08-11 06-08-22,1210.021647,35464118272,43254079488,4096,4096,,,,
2022-08-11 06-08-25,982.3693793,35464605696,43262484480,8192,8192,,,,
2022-08-11 06-08-29,1070.804275,35492286464,43294179328,4096,4096,,,,
2022-08-11 06-08-32,930.1682845,35437563904,43245666304,8192,4096,,,,
2022-08-11 06-08-36,947.0241106,35437637632,43252232192,8192,4096,,,,
2022-08-11 06-08-39,892.123185,35437789184,43252232192,4096,4096,,,,
2022-08-11 06-08-43,967.0331529,35380805632,43193942016,8192,4096,,,,
2022-08-11 06-08-46,841.9773305,35409047552,43221999616,8192,4096,,,,
2022-08-11 06-08-50,1173.627987,35382267904,43198668800,8192,4096,,,,
2022-08-11 06-08-53,940.5986315,35466285056,43281637376,8192,4096,,,,
2022-08-11 06-08-57,1080.695638,35438215168,43250397184,8192,4096,,,,
2022-08-11 06-09-00,940.7619129,35438292992,43252760576,4096,4096,,,,
2022-08-11 06-09-03,838.9857506,35465351168,43278696448,4096,4096,,,,
2022-08-11 06-09-07,983.9956175,35410935808,43227697152,4096,4096,,,,
2022-08-11 06-09-10,902.4986166,35411165184,43227697152,4096,4096,,,,
2022-08-11 06-09-14,1073.654532,35383349248,43197878272,4096,4096,,,,
2022-08-11 06-09-17,889.6522477,35467350016,43280302080,8192,4096,,,,
2022-08-11 06-09-21,1035.605205,35467980800,43282665472,8192,4096,,,,
2022-08-11 06-09-24,938.1009206,35468390400,43284766720,8192,4096,,,,
2022-08-11 06-09-28,820.1343438,35468296192,43282927616,4096,4096,,,,
2022-08-11 06-09-31,1068.846186,35384426496,43201028096,8192,4096,,,,
2022-08-11 06-09-35,1136.448145,35469824000,43282071552,4096,4096,,,,
2022-08-11 06-09-39,938.0396782,35384963072,43199188992,8192,4096,,,,
2022-08-11 06-09-42,872.9669948,35385376768,43197349888,8192,4096,,,,
2022-08-11 06-09-46,1176.343566,35441258496,43253731328,8192,4096,,,,
2022-08-11 06-09-49,912.6659552,35441405952,43256094720,4096,4096,,,,
2022-08-11 06-09-53,1015.492371,35441168384,43257946112,4096,4096,,,,
2022-08-11 06-09-56,1049.042814,35441446912,43218284544,8192,4096,,,,
2022-08-11 06-10-00,1106.056009,35385581568,43179487232,8192,4096,,,,
2022-08-11 06-10-03,1008.896156,35469537280,43273601024,8192,4096,,,,
2022-08-11 06-10-07,1087.289611,35386499072,43196821504,8192,4096,,,,
2022-08-11 06-10-10,890.5521891,35471024128,43283066880,8192,4096,,,,
2022-08-11 06-10-14,959.1683067,35471093760,43285430272,4096,4096,,,,
2022-08-11 06-10-17,1231.335965,35387211776,43164250112,4096,4096,,,,
2022-08-11 06-10-21,911.003389,35414388736,43207028736,8192,4096,,,,
2022-08-11 06-10-24,1129.282686,35415576576,43211493376,8192,4096,,,,
2022-08-11 06-10-28,856.7829875,35388129280,43188150272,4096,4096,,,,
2022-08-11 06-10-31,1216.697062,35471781888,43280277504,4096,4096,,,,
2022-08-11 06-10-35,1070.30283,35528609792,43343446016,4096,4096,,,,
2022-08-11 06-10-38,915.1827072,35529322496,43345809408,12288,4096,,,,
2022-08-11 06-10-42,1222.04167,35529629696,43343970304,4096,4096,,,,
2022-08-11 06-10-45,803.1869041,35389726720,43204169728,4096,4096,,,,
2022-08-11 06-10-49,1064.503961,35389726720,43204431872,4096,4096,,,,
2022-08-11 06-10-52,1020.369287,35417935872,43234545664,12288,4096,,,,
2022-08-11 06-10-56,1386.415445,35474083840,43251077120,4096,4096,,,,
2022-08-11 06-11-00,947.0962236,35474669568,43264208896,12288,4096,,,,
2022-08-11 06-11-03,915.649959,35418103808,43216396288,12288,4096,,,,
2022-08-11 06-11-07,1071.199766,35390955520,43193397248,4096,4096,,,,
2022-08-11 06-11-10,1031.87897,35447287808,43253661696,4096,4096,,,,
2022-08-11 06-11-14,941.4811066,35532759040,43341156352,4096,4096,,,,
2022-08-11 06-11-17,974.7175081,35532996608,43347722240,4096,4096,,,,
2022-08-11 06-11-21,1079.617489,35533623296,43350085632,4096,4096,,,,
2022-08-11 06-11-24,1189.457965,35560488960,43337789440,4096,4096,,,,
2022-08-11 06-11-28,916.0049575,35561246720,43354861568,4096,4096,,,,
2022-08-11 06-11-31,846.1048313,35561746432,43361427456,4096,4096,,,,
2022-08-11 06-11-34,808.4555951,35561578496,43365892096,4096,4096,,,,
2022-08-11 06-11-38,1073.535873,35562393600,43374559232,8192,8192,,,,
2022-08-11 06-11-41,988.2919412,35562418176,43377184768,12288,4096,,,,
2022-08-11 06-11-45,1098.450848,35563130880,43375345664,12288,4096,,,,
2022-08-11 06-11-48,810.7222636,35563360256,43375607808,4096,4096,,,,
2022-08-11 06-15-28,1097.750309,35524567040,43301478400,4096,4096,,,,
2022-08-11 06-15-31,1091.434486,35524485120,43314348032,16384,4096,,,,
2022-08-11 06-15-35,1086.30589,35524722688,43323015168,16384,4096,,,,
2022-08-11 06-15-38,1032.828851,35524808704,43327479808,16384,4096,,,,
2022-08-11 06-15-42,1089.022556,35553607680,43361529856,16384,4096,,,,
2022-08-11 06-15-45,938.2985935,35526213632,43340611584,16384,4096,,,,
2022-08-11 06-15-49,1068.984598,35526258688,43332468736,4096,4096,,,,
2022-08-11 06-16-56,929.3168921,35530964992,43335872512,16384,4096,,,,
2022-08-11 06-17-00,976.7194427,35531722752,43344539648,16384,4096,,,,
2022-08-11 06-17-03,1120.512925,35531821056,43344801792,20480,4096,,,,
2022-08-11 06-17-07,1098.826426,35532218368,43345063936,20480,4096,,,,
2022-08-11 06-17-10,963.7256136,35532513280,43347427328,20480,4096,,,,
2022-08-11 06-17-14,928.0179094,35533615104,43349790720,20480,4096,,,,
2022-08-11 06-17-17,1113.101867,35532824576,43310129152,20480,4096,,,,
2022-08-11 06-17-21,1000.151847,35533955072,43325100032,20480,4096,,,,
2022-08-11 06-17-24,922.4671109,35533930496,43334029312,20480,4096,,,,
2022-08-11 06-17-28,982.78213,35589128192,43393720320,20480,4096,,,,
2022-08-11 06-17-31,909.0206849,35534471168,43347161088,12288,4096,,,,
2022-08-11 06-17-45,1026.851385,35535589376,43325095936,4096,4096,,,,
2022-08-11 06-17-49,1458.474609,35535806464,43331661824,4096,4096,,,,
2022-08-11 06-17-53,956.8528559,35536318464,43338227712,4096,4096,,,,
2022-08-11 06-17-56,843.7654616,35536277504,43342692352,4096,4096,,,,
2022-08-11 06-17-59,921.5414851,35536404480,43347156992,4096,4096,,,,
2022-08-11 06-18-03,1024.294046,35536826368,43347419136,20480,8192,,,,
2022-08-11 06-18-07,1060.65264,35592208384,43407216640,20480,4096,,,,
2022-08-11 06-18-10,1010.54236,35592794112,43403276288,4096,4096,,,,
2022-08-11 06-18-46,1101.519807,35540267008,43338219520,20480,4096,,,,
2022-08-11 06-18-49,972.2026506,35540561920,43345047552,20480,4096,,,,
2022-08-11 06-18-53,1139.357266,35541123072,43351613440,20480,4096,,,,
2022-08-11 06-18-56,1026.204223,35540869120,43353976832,4096,4096,,,,
2022-08-11 06-19-00,1067.158427,35541426176,43358441472,20480,4096,,,,
2022-08-11 06-19-04,1355.280385,35540893696,43318779904,20480,4096,,,,
2022-08-11 06-19-07,982.6639553,35542061056,43331649536,20480,4096,,,,
2022-08-11 06-19-11,1149.205831,35542355968,43340316672,20480,4096,,,,
