Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-12 04-17-30,0.0,782159872,2698416128,0,0,start_loggin
2022-08-12 04-17-31,11.327040533037202,784367616,2698416128,20480,4096,add sample2202022-08-12 04-18-32,99.36763085961405,786575360,2700140544,4096,4096,init dataset2222022-08-12 10-00-00,99.5933131696776,34639900672,36620152832,7944134656,4096,split dataset
2022-08-12 10-00-01,101.23031496062993,34758057984,36839276544,0,4096,Model start
2022-08-12 10-00-02,104.61538461538461,34759094272,36843732992,0,159744,modelsetup_done
2022-08-12 10-00-02,0.0,34759094272,36843732992,0,4096,train_start
2022-08-12 10-00-02,523.0769230769231,34759094272,36843732992,0,0,epoch_begin
2022-08-12 10-00-06,340.49510193275086,35189092352,41912754176,4096,0,
2022-08-12 10-00-10,397.8447062608066,35195187200,41919012864,0,4096,
2022-08-12 10-00-13,435.71934798015593,35284545536,42010095616,0,0,
2022-08-12 10-00-17,393.9182876072369,35345489920,42087649280,0,4096,
2022-08-12 10-00-20,405.86092715231786,35196866560,41925906432,0,0,
2022-08-12 10-00-24,443.39230833125674,35279900672,42042662912,0,4096,
2022-08-12 10-00-27,417.11079943899017,35240955904,41967124480,0,0,
2022-08-12 10-00-31,416.30929712724566,35354271744,42077925376,0,4096,
2022-08-12 10-00-35,401.15640843004985,35325014016,42074251264,0,0,
2022-08-12 10-00-38,396.8539513868552,35354177536,42117271552,0,4096,
2022-08-12 10-00-42,393.9076871150114,35354902528,42092318720,0,0,
2022-08-12 10-00-45,422.6577715161812,35314987008,42078089216,0,4096,
2022-08-12 10-00-49,403.97450947509645,35284738048,42012024832,0,0,
2022-08-12 10-00-52,428.1021897810219,35371192320,42096390144,0,4096,
2022-08-12 10-00-56,385.3209466560175,35371106304,42094768128,0,0,
2022-08-12 10-00-59,391.2562814070352,35384201216,42107785216,0,4096,
2022-08-12 10-01-03,406.7994251693697,35355983872,42092310528,0,0,
2022-08-12 10-01-06,375.6300381841324,35356872704,42096513024,0,4096,
2022-08-12 10-01-10,389.94568649741063,35356905472,42084167680,0,0,
2022-08-12 10-01-13,414.4520406049306,35385036800,42116288512,0,4096,
2022-08-12 10-01-17,367.1544301649913,35384967168,42116550656,0,0,
2022-08-12 10-01-20,377.8096766022123,35411636224,42139009024,0,4096,
2022-08-12 10-01-24,378.97768178545715,35328671744,42051887104,0,0,
2022-08-12 10-01-27,422.04568023833167,35328892928,42054250496,0,4096,
2022-08-12 10-01-31,392.3844669965613,35412758528,42136453120,0,0,
2022-08-12 10-01-34,405.9828347637697,35469492224,42198814720,0,4096,
2022-08-12 10-01-38,374.96188378790447,35469705216,42192773120,0,0,
2022-08-12 10-01-41,433.0426197136745,35414728704,42137800704,0,4096,
2022-08-12 10-01-45,365.8717451756973,35414831104,42138062848,0,0,
2022-08-12 10-01-48,392.42843951985225,35415224320,42154872832,0,4096,
2022-08-12 10-01-52,391.45112529392003,35386134528,42111033344,0,0,
2022-08-12 10-01-55,393.44262295081967,35470041088,42214576128,0,4096,
2022-08-12 10-01-59,381.7270100288968,35470442496,42193825792,0,0,
2022-08-12 10-02-03,416.44623346751007,35359584256,42082799616,0,4096,
2022-08-12 10-02-06,391.49007595149175,35387375616,42127151104,0,0,
2022-08-12 10-02-09,363.68876080691643,35387748352,42135818240,0,4096,
2022-08-12 10-02-13,433.0401593096581,35471216640,42221293568,0,0,
2022-08-12 10-02-17,377.37645009136105,35471147008,42202644480,0,4096,
2022-08-12 10-02-20,381.3057257553349,35471089664,42194239488,0,0,
2022-08-12 10-02-24,406.64357551224805,35443712000,42170798080,0,4096,
2022-08-12 10-02-27,408.5085168259244,35471450112,42194608128,0,0,
2022-08-12 10-02-31,370.8463684789042,35415154688,42151694336,0,4096,
2022-08-12 10-02-34,373.2929190873116,35415920640,42139086848,0,0,
2022-08-12 10-02-38,423.0070133211603,35416375296,42170867712,0,4096,
2022-08-12 10-02-41,391.73074498928526,35443847168,42167541760,0,0,
2022-08-12 10-02-45,426.5258119093798,35445059584,42186883072,0,4096,
2022-08-12 10-02-48,353.3586818757921,35444826112,42170073088,0,0,
2022-08-12 10-02-52,407.1890011595163,35416711168,42142236672,0,4096,
2022-08-12 10-02-55,447.250943705892,35474272256,42230468608,0,0,
2022-08-12 10-02-59,405.65546322708667,35417726976,42142760960,0,8192,
2022-08-12 10-03-02,437.21122795396207,35501707264,42247430144,0,0,
2022-08-12 10-03-06,414.5372611199199,35557859328,42320498688,0,4096,
2022-08-12 10-03-10,385.4274095501614,35557400576,42280837120,0,0,
2022-08-12 10-03-13,380.37742221471694,35500933120,42224934912,0,4096,
2022-08-12 10-03-17,388.6523640908144,35530137600,42253885440,0,0,
2022-08-12 10-03-20,377.9860080559678,35530936320,42253885440,0,4096,
2022-08-12 10-03-24,373.01167845878444,35531161600,42264653824,0,0,
2022-08-12 10-03-27,388.2136279926335,35418980352,42154840064,0,4096,
2022-08-12 10-03-31,427.27839421518513,35474714624,42206863360,0,0,
2022-08-12 10-03-34,398.300283286119,35419889664,42146697216,0,4096,
2022-08-12 10-03-38,419.3944421401908,35503235072,42253934592,0,0,
2022-08-12 10-03-41,409.7338150409036,35560353792,42295934976,0,4096,
2022-08-12 10-03-45,358.0018817894107,35560706048,42302500864,0,0,
2022-08-12 10-03-48,379.4610651389773,35560669184,42298298368,0,4096,
2022-08-12 10-03-52,380.95477176687166,35560538112,42288054272,0,0,
2022-08-12 10-03-55,391.170760530092,35561046016,42284113920,0,4096,
2022-08-12 10-03-59,392.18789039726823,35561164800,42286477312,0,0,
2022-08-12 10-04-02,398.9174785577484,35561771008,42288578560,0,4096,
2022-08-12 10-04-06,364.94366560591726,35561914368,42284638208,0,0,
2022-08-12 10-04-09,386.1243618712863,35561947136,42284900352,0,4096,
2022-08-12 10-04-13,377.63419063305037,35562291200,42322984960,0,0,
2022-08-12 10-04-16,399.9334027055151,35506200576,42264322048,0,4096,
2022-08-12 10-04-20,422.1943678449068,35533524992,42277638144,0,0,
2022-08-12 10-04-23,375.15654086985955,35533778944,42256887808,0,4096,
2022-08-12 10-04-27,406.17392395532687,35534049280,42280263680,0,0,
2022-08-12 10-04-30,388.5878524028911,35534917632,42282778624,0,4096,
2022-08-12 10-04-34,378.9976934367792,35506225152,42229911552,0,0,
2022-08-12 10-04-37,373.7355506854024,35534295040,42259714048,0,4096,
2022-08-12 10-04-41,418.3309053069719,35563560960,42289156096,0,0,
