Datetime,CPU,RSS,VMSize,Read,Write,Annotation
2022-08-15 14-26-54,0.0,801906688,2086043648,0,0,start_loggin
2022-08-15 14-26-54,78.61271676300578,802217984,2086043648,499712,4096,add samples
2022-08-15 14-27-52,99.9702469503124,804159488,2087772160,913408,0,init dataset
2022-08-15 19-53-01,99.86418675893015,34653687808,36007981056,20296671232,4096,split dataset
2022-08-15 19-53-02,154.16532991123944,34772996096,36236873728,8663040,4096,Model start
2022-08-15 19-53-03,52.892561983471076,34773725184,36241330176,520192,159744,modelsetup_done
2022-08-15 19-53-03,15.11111111111111,34773962752,36241330176,0,4096,train_start
2022-08-15 19-53-03,0.0,34773962752,36241330176,0,0,epoch_begin
2022-08-15 19-53-09,1353.310175207282,35209617408,41313173504,21639168,0,
2022-08-15 19-53-12,1170.4527773455734,35242467328,41366269952,86016,0,
2022-08-15 19-53-16,1236.5383838791745,35348037632,41476534272,0,0,
2022-08-15 19-53-19,903.6407766990292,35275948032,41408454656,0,0,
2022-08-15 19-53-23,1006.2375580623756,35276509184,41414758400,0,0,
2022-08-15 19-53-27,1242.4453441295548,35355029504,41499439104,0,0,
2022-08-15 19-53-30,1385.636636983925,35356164096,41461157888,0,0,
2022-08-15 19-53-34,846.1975223675155,35356278784,41474027520,0,0,
2022-08-15 19-53-37,846.8756756756757,35356614656,41482694656,0,0,
2022-08-15 19-53-41,999.748322147651,35357065216,41486897152,0,4096,
2022-08-15 19-53-44,1090.7599917167115,35372306432,41508433920,0,0,
2022-08-15 19-53-48,880.8456008216365,35372486656,41512898560,0,0,
2022-08-15 19-53-51,960.9573926328297,35372642304,41515261952,0,0,
2022-08-15 19-53-55,907.5547227663742,35372818432,41513160704,0,0,
2022-08-15 19-53-58,1474.555221151282,35379474432,41517682688,0,0,
2022-08-15 19-54-02,957.0603851502254,35379781632,41520402432,0,0,
2022-08-15 19-54-06,1021.5240366821565,35380232192,41520664576,0,0,
2022-08-15 19-54-09,972.1730245231607,35380334592,41522765824,0,0,
2022-08-15 19-54-12,910.3548153511948,35380584448,41518825472,0,0,
2022-08-15 19-54-16,1064.9077826482508,35399794688,41539981312,0,4096,
2022-08-15 19-54-19,894.4523226333205,35399737344,41542344704,0,0,
2022-08-15 19-54-23,1115.8571781974108,35399974912,41544445952,0,0,
2022-08-15 19-54-27,1136.8403680323472,35399667712,41504784384,0,0,
2022-08-15 19-54-30,1386.3434406422948,35343183872,41461133312,0,0,
2022-08-15 19-54-34,934.9348326092512,35399610368,41521623040,0,0,
2022-08-15 19-54-38,1351.148749313887,35400417280,41525825536,0,0,
2022-08-15 19-54-41,979.0351098762313,35399737344,41532137472,0,0,
2022-08-15 19-54-45,1008.6070025904571,35401310208,41541607424,0,0,
2022-08-15 19-54-48,1119.4371296905858,35399864320,41542635520,0,4096,
2022-08-15 19-54-52,1028.980918256812,35401527296,41539960832,0,0,
2022-08-15 19-54-55,1129.6135226060555,35400769536,41541025792,0,0,
2022-08-15 19-54-59,858.9010989010989,35401797632,41541873664,0,0,
2022-08-15 19-55-02,1071.318607764391,35400568832,41541013504,0,0,
2022-08-15 19-55-06,1119.2040609137057,35400802304,41543376896,0,0,
2022-08-15 19-55-09,892.6652142338417,35402321920,41542438912,0,0,
2022-08-15 19-55-13,956.8637444784234,35373391872,41516158976,0,0,
2022-08-15 19-55-16,905.2505455945911,35402260480,41542615040,0,0,
2022-08-15 19-55-20,1057.1976967370442,35401662464,41546465280,0,4096,
2022-08-15 19-55-23,860.2391951988257,35401990144,41542434816,0,0,
2022-08-15 19-55-26,846.4413656178515,35403350016,41545560064,0,0,
2022-08-15 19-55-30,984.2592980837771,35374395392,41515544576,0,0,
2022-08-15 19-55-33,913.9190692103688,35403313152,41543634944,0,0,
2022-08-15 19-55-37,983.8749104395836,35375124480,41517731840,0,0,
2022-08-15 19-55-41,1247.0466155810984,35402981376,41508114432,0,0,
2022-08-15 19-55-44,904.5592186633685,35403517952,41521184768,0,0,
2022-08-15 19-55-47,853.7323613420301,35404328960,41528090624,0,0,
2022-08-15 19-55-51,1154.3020875972165,35375501312,41503744000,0,0,
2022-08-15 19-55-55,1002.6545002073829,35404554240,41538580480,0,4096,
2022-08-15 19-55-58,858.5083272990587,35405344768,41541476352,0,0,
2022-08-15 19-56-02,929.1677164693037,35405729792,41548042240,0,0,
2022-08-15 19-56-05,1103.899721448468,35405287424,41510481920,0,4096,
2022-08-15 19-56-09,921.3089672758181,35405930496,41523089408,0,0,
2022-08-15 19-56-12,1017.9928494221335,35405930496,41527554048,0,0,
2022-08-15 19-56-16,896.8183373246665,35406196736,41536221184,0,0,
2022-08-15 19-56-19,1110.1364522417155,35406577664,41544888320,0,0,
2022-08-15 19-56-23,866.0073953048413,35406905344,41551192064,0,0,
2022-08-15 19-56-26,1120.121500697808,35377655808,41518370816,0,0,
2022-08-15 19-56-30,971.1845245572164,35406057472,41546932224,0,4096,
2022-08-15 19-56-33,821.109911466206,35406974976,41549295616,0,0,
2022-08-15 19-56-37,919.4778861994678,35407220736,41547194368,0,0,
2022-08-15 19-56-40,897.7365554799184,35407355904,41547456512,0,0,
2022-08-15 19-56-44,834.7610286252193,35407532032,41550127104,0,0,
2022-08-15 19-56-47,1113.7012290687123,35429892096,41574551552,0,0,
2022-08-15 19-56-50,824.4388595198891,35435782144,41578229760,0,0,
2022-08-15 19-56-54,961.6648594545,35435798528,41540669440,0,0,
2022-08-15 19-56-57,858.9288789392112,35436232704,41553539072,0,0,
2022-08-15 19-57-01,917.7931613173904,35436531712,41560104960,0,0,
2022-08-15 19-57-04,991.133416980343,35436806144,41568509952,0,4096,
2022-08-15 19-57-08,797.6750330250991,35436896256,41572974592,0,0,
2022-08-15 19-57-11,1011.6830441145725,35437150208,41579540480,0,0,
2022-08-15 19-57-15,886.2829385719813,35437408256,41577701376,0,0,
2022-08-15 19-57-18,980.8488308635237,35437748224,41582166016,0,0,
2022-08-15 19-57-22,1141.0958904109589,35437244416,41542242304,0,0,
2022-08-15 19-57-25,1062.3769746092134,35437887488,41561415680,0,0,
2022-08-15 19-57-29,888.417253823681,35437985792,41565880320,0,0,
2022-08-15 19-57-32,1112.2979620520027,35438223360,41570344960,0,0,
2022-08-15 19-57-36,802.5997660210581,35438915584,41574809600,0,0,
2022-08-15 19-57-39,827.027027027027,35438923776,41581637632,0,4096,
2022-08-15 19-57-43,864.0143891053916,35439202304,41579798528,0,0,
2022-08-15 19-57-46,1032.4308441422156,35439833088,41582161920,0,0,
2022-08-15 19-57-49,873.661670235546,35439869952,41578221568,0,0,
2022-08-15 19-57-53,869.542753810385,35440115712,41582686208,0,0,
2022-08-15 19-57-56,889.1268676051473,35440562176,41578745856,0,0,
2022-08-15 19-58-00,858.0285076421089,35440852992,41583210496,0,0,
2022-08-15 19-58-03,1142.9858324461552,35440562176,41545650176,0,0,
2022-08-15 19-58-07,942.5258168274928,35448737792,41568423936,0,0,
2022-08-15 19-58-10,888.188299974229,35449286656,41577091072,0,0,
2022-08-15 19-58-14,949.7792825611795,35449778176,41585758208,0,4096,
2022-08-15 19-58-17,949.7946568440663,35449954304,41590222848,0,0,
2022-08-15 19-58-20,842.800345721694,35450396672,41592586240,0,0,
2022-08-15 19-58-24,804.925935664826,35450466304,41595211776,0,0,
2022-08-15 19-58-27,1107.5821889305034,35450408960,41555550208,0,0,
2022-08-15 19-58-31,993.4494301088937,35450851328,41566318592,0,0,
2022-08-15 19-58-34,896.4005458887751,35451092992,41572884480,0,0,
2022-08-15 19-58-38,1103.782592728608,35451965440,41579745280,0,0,
2022-08-15 19-58-41,972.5397161618301,35452334080,41586311168,0,0,
2022-08-15 19-58-45,852.9647715381932,35452477440,41592877056,0,0,
2022-08-15 19-58-48,829.1037695160873,35452862464,41595240448,0,0,
2022-08-15 19-58-52,890.7862460730731,35453337600,41597603840,0,4096,
2022-08-15 19-58-55,1009.7441111675987,35452817408,41557942272,0,0,
2022-08-15 19-58-59,931.5147652432547,35453362176,41568710656,0,0,
2022-08-15 19-59-02,914.8635331419513,35453935616,41581580288,0,0,
2022-08-15 19-59-05,860.7147498375568,35454001152,41588408320,0,0,
